Invoice No,Client,Job Name,Job Number,Invoice Amount (excl VAT),Date Inv. Issued
1905-30,CPMS,Wallyford Platform,1623,4990.07,2019-05-16
1905-31,AMCO,FB 090/213 BARRY LINKS,1799,592.02,2019-05-17
1905-32,CPMS,WAVERLEY STATION RAMPS,1933,5644.12,2019-05-17
1905-33,AMCO,Dunbar Station Temporary Works,2171,1273.75,2019-05-21
1905-34,QTS Group,Stalcair,1812,9290.25,2019-05-21
1905-35,QTS Group,HGL2/YD229 Garry Dam,1814,8609.63,2019-05-21
1905-36,CPMS,Rossi Bridge Monitoring,2076,14548.75,2019-05-30
1905-37,AMCO,CP6 Year 1 Culverts C161/220A,1953,3964.15,2019-05-30
1905-38,AMCO,CP6 Year 1 Culverts C161/219A,1952,3435.49,2019-05-30
1905-39,AMCO,CP6 Year 1 Culverts C161/218A,1951,3435.5,2019-05-30
1905-40,AMCO,CP6 Year 1 Culverts C030/388,1949,4542.2,2019-06-10
1905-41,AMCO,CP6 Year 1 Culverts C030/423,1950,5266.03,2019-06-10
1905-42,AMCO,CP6 Year 1 Culverts C001/060A,1947,3892.3,2019-05-30
1905-43,AMCO,CP6 Year 1 Culverts C030/245,1948,1435.5,2019-06-10
1905-44,PBH OLE,SDA Electrification Project,1553,17918.8,2019-05-30
1905-45,AMCO,Alticane Scour Protection,1865,980.32,2019-05-30
1905-46,George Leslie,Biglees Slope Remediation,1883,1933.75,2019-05-30
1905-47,AMCO,BLACKWATER UB 23 ELR: KYL 9mi 574yds 9m 614yds ,2097,2045.5,2019-05-30
1905-48,AMCO,BANAVIE ELR: MLG2 0mi 580yds 0mi 600yds,2092,2045.5,2019-05-30
1905-49,AMCO,ACHINTEE ELR: KYL 48mi 867yds 48mi 891yds ,2102,2045.5,2019-05-30
1905-50,AMCO,BEAULY VIADUCT UB 29 ELR: WCK 9mi 1430yds 9mi 1490yds ,2099,2045.5,2019-05-30
1905-51,Story Contracting,Stirling Station Temporary works,1910,500.0,2019-05-30
1905-52,AMCO,UB 312/242 Allt Na H-Airde,1960,824.09,2019-05-30
1905-53,AMCO,Leamington Lift Bridge Temp Works Design,2133,2000.0,2019-05-30
1905-54,Story Contracting,UB 310/151 Auch Viaduct Form 003,2132,34873.65,2019-05-30
1906-01,AMCO,R-179-120.0990U Port Glasgow Repair Works,2103,2119.75,2019-06-04
1906-02,Taziker Industrial,UB 209/095A Garry Viaduct,2059,454.5,2019-06-13
1906-03,Story Contracting,UB 218/005 Clyde Street,2139,17894.28,2019-06-13
1906-04,Story Contracting,FB 030/469 Gillhead Donnelys,2153,6061.55,2019-06-13
1906-05,Taziker Industrial,Clyde Major Structures Scheme,2087,1272.75,2019-06-13
1906-06,Taziker Industrial,Clyde Major Structures Scheme,2087,1353.16,2019-06-13
1906-07,Taziker Industrial,Clyde Major Structures Scheme,2087,6337.75,2019-06-13
1906-08,Taziker Industrial,Timber Waybeam Replacement,2054,1545.5,2019-06-13
1906-09,Story Contracting,UB 132/015 Cornton Viaduct,2147,21805.17,2019-06-13
1906-10,Story Contracting,OB 031/019 Muir Street,2121,1835.25,2019-06-18
1906-11,Taziker Industrial,A9 Alt Girnaig Bridge Soffit,2154,2856.25,2019-06-18
1906-12,CPR - Complete Paving Requirements,Dumbarton East Station Platform,1884,431.25,2019-06-18
1906-13,PBH OLE,Nexus Pile Check,2082,2573.0,2019-06-18
1906-14,Lickley Proctor Lettings,53 IRELAND STREET RETAINING WALL,2106,3281.0,2019-07-10
1906-15,Story Contracting,C 161-219A Culvert Renewal F003,2145,5090.75,2019-06-18
1906-16,Story Contracting,C 161-220A Culvert Renewal F003,2146,5090.75,2019-06-18
1906-17,CPMS,Falahill Water Pipe Buried Services,2169,491.28,2019-06-18
1906-18,Story Contracting,Access Bridge Near Markinch Viaduct,2161,4216.0,2019-06-18
1906-19,AMCO,UB 218/009 Old Rutherglen Road,1895,688.5,2019-06-18
1906-20,QTS Group,KYL - CP6 Ash Nasheen Railway Earthworks Improvement,2127,8230.88,2019-06-18
1906-21,QTS Group,KYL - CP6 Blackwater Cottages Railway Earthworks Improvement,2128,1800.0,2019-06-18
1906-22,AMCO,C313-006A CULVERT HEADWALL,2027,6239.25,2019-06-20
1906-23,AMCO,Strawfrank Road Retaining Wall,2120,0.0,2019-06-20
1906-24,Story Contracting,R222/009.0640 Neilston Bank Retaining Wall,2142,6041.13,2019-06-20
1906-25,Story Contracting,UB 132/087 Cow Bridge Infill,2149,8963.75,2019-06-20
1906-26,RJ MacLeod,Dunbar Cement Temporary Works,2130,3711.5,2019-06-20
1906-27,CPR - Complete Paving Requirements,Kilmarnock Station Platform 4 Refurb,1452,1805.68,2019-06-21
1906-28,Story Contracting,Access Bridge Near Markinch Viaduct,2161,2554.0,2019-06-21
1906-29,Story Contracting,C 161-218A Culvert Renewal,2144,3440.25,2019-06-21
1906-30,Graham Construction Ltd,Buchanan Wharf - Building 3,2197,800.0,2019-06-24
1906-31,Story Contracting,UB285/055 Currie Know,2152,9807.77,2019-06-24
1906-32,George Leslie,Erradale Street,2068,1530.75,2019-06-28
1906-33,Geo-Rope,"Rest & Be Thankful Phase 1, 7, 8 & 9",1685,12426.5,2019-06-26
1906-34,BAM Nuttall,Seagreen,2163,46924.63,2019-06-28
1907-01,QTS Group,LGS2 - CP6 Largs Rock Cutting Improvement,2066,1477.25,2019-07-03
1907-02,Wills Bros,A6 Temporary Works,2134,4500.0,2019-07-03
1907-03,Story Contracting,Waverley Station,1909,650.0,2019-07-03
1907-04,AMCO,UB 261/004 Saltmarket ,1965,6802.44,2019-07-03
1907-05,George Leslie,Happendon Temporary Bridge,2194,1643.0,2019-07-05
1907-06,Story Contracting,Cornton Viaduct Scaffold Foundations,2203,1366.5,2019-07-05
1907-07,AMCO,Glen Douglas,2178,2835.5,2019-07-05
1907-08,AMCO,C030/411 Culvert Renewal,2140,2076.0,2019-07-10
1907-09,Story Contracting,UB 134/014 Cattle Creep,2138,7895.34,2019-07-11
1907-10,Story Contracting,Queen Street Temporary Works,2204,1510.75,2019-07-10
1907-11,Morgan Sindall,Kippenross Tunnel Masonry Repairs,2117,4947.7,2019-07-10
1907-12,Story Contracting,UB 132/015 Cornton Viaduct,2147,2856.8199999999997,2019-07-10
1907-13,AMCO,Credit Note 1905-42,1947,-470.93,2019-07-11
1907-14,Lindapter,Invoice for buffet lunch,103,42.33,2019-07-11
1907-15,QTS Group,KYL - CP6 Glencarron Lodge Railway Earthwork Improvement,2129,8970.38,2019-07-16
1907-16,AMCO,Year 5 Culverts,1694,990.95,2019-07-31
1907-17,RJ MacLeod,Credit Note 1904-04,2109,-1091.5,2019-07-17
1907-18,Story Contracting,UB 310/226 Loch Treig,2135,8604.5,2019-07-25
1907-19,Story Contracting,UB218/005 Clyde Street,2139,2724.22,2019-07-25
1907-20,Story Contracting,UB 285/005 Currie Know,2152,1825.72,2019-07-25
1907-21,BAM Nuttall,Peterhead Sub Station,2206,2500.0,2019-07-29
1907-22,AMCO,UB 192/001A Park Road,1930,2000.0,2019-07-25
1907-23,QTS Group,KYL - CP6 Allt Na Ceardaich Railway Earthworks Improvement,2126,9968.25,2019-07-25
1907-24,Taziker Industrial,Clyde Major Structures Scheme,2087,2887.87,2019-07-25
1907-25,Taziker Industrial,Clyde Major Structures Scheme,2087,6337.76,2019-07-25
1907-26,Taziker Industrial,Clyde Major Structures Scheme,2087,642.0,2019-07-25
1907-27,Taziker Industrial,Clyde Major Structures Scheme,2087,5001.25,2019-07-25
1907-28,Taziker Industrial,Clyde Major Structures Scheme,2087,1392.25,2019-07-25
1907-29,Taziker Industrial,Clyde Major Structures Scheme,2087,1337.85,2019-07-25
1907-30,Taziker Industrial,Clyde Major Structures Scheme,2087,1337.85,2019-07-25
1907-31,PBH OLE,UB 054/055  Bellshill Ballast Retention Walls,2166,16388.15,2019-07-25
1907-32,PBH OLE,Errol Level Crossing Alignment,2165,4792.5,2019-07-25
1907-33,Taziker Industrial,Dunbeath Walkway,2188,4130.5,2019-07-26
1907-34,Taziker Industrial,Clyde Major Structures Scheme,2087,598.0,2019-08-01
1907-35,Taziker Industrial,Credit Note in relation to 1907-29,2087,-1337.85,2019-07-25
1908-01,Taziker Industrial,Clyde Major Structures Scheme,2087,642.0,2019-08-05
1908-02,Taziker Industrial,Clyde Major Structures Scheme,2087,4225.18,2019-08-05
1908-03,Taziker Industrial,Clyde Major Structures Scheme,2087,1448.5,2019-08-05
1908-04,Taziker Industrial,Clyde Major Structures Scheme,2087,445.95,2019-08-05
1908-05,Taziker Industrial,Clyde Major Structures Scheme,2087,13276.58,2019-08-05
1908-06,Strathaven Model Society Ltd,Strathaven Miniature Railway,2199,1100.0,2019-08-06
1908-07,PBH OLE,Bescot Yard,2228,855.0,2019-08-08
1908-08,PBH OLE,Carman Road,2227,641.25,2019-08-08
1908-09,APB Group Ltd,LCC - Carnforth Canal & St Michael's Footbridge Replacements,2170,9404.25,2019-08-08
1908-10,Story Contracting,Dellingburn Street,2211,1415.0,2019-08-08
1908-11,AMCO,Drumlanrig Tunnel Remediation Works,2174,4199.5,2019-08-08
1908-12,George Leslie,Blackwood WWTW Slurry Tank Structural Survey,2193,5762.5,2019-08-08
1908-13,Story Contracting,UB 132/087 Cow Bridge,2201,950.75,2019-08-08
1908-14,AMCO,Winchburgh Cutting,2173,4995.75,2019-08-08
1908-15,Story Contracting,UB 310-192 Tulla Water,2137,10021.27,2019-08-12
1908-16,Story Contracting,UB 179/039 Parklea,2136,11904.4,2019-08-12
1908-17,Lanarkshire Welding Company,Sparling Bridge Lifting Lug Design,2229,1215.5,2019-08-12
1908-18,Taziker Industrial,FB 222 013A Strathbungo,1996,1560.0,2019-08-12
1908-19,Mercia Power Response Limited,Union Street Temporary Works,2262,2386.75,2019-08-13
1908-20,CPMS,Wallyford Platform,1623,5346.0,2019-08-14
1908-21,RJ MacLeod,Skolie Bridge Temporary Works,2158,3901.0,2019-08-14
1908-22,AMCO,UB 210-018 Coalhall,2108,3067.5,2019-08-14
1908-23,BAM Nuttall,Alves,2190,10036.79,2019-08-14
1908-23,BAM Nuttall,Intersection,2192,11577.0,2019-08-14
1908-24,RJ MacLeod,C3 Bridgend Bridge Replacements,2109,1531.5,2019-08-21
1908-25,AMCO,T313-117 Loch Nan Uamh Tunnel,1492D,9175.57,2019-08-21
1908-26,CPMS,Waverley Station Ramps,1933,2351.03,2019-08-21
1908-27,PBH OLE,Bescot Yard,2228,641.25,2019-08-21
1908-28,Allen Gordon,Bothwell Sewer Replacement,2263,1506.5,2019-08-21
1908-29,Whitfield Construction Services,Hadleigh Street,2196,5882.65,2019-08-21
1908-30,CPMS,Altnabreac Drainage,2049,245.0,2019-08-21
1908-31,BAM Nuttall,Cleland Station Temporary Works,1994,1285.75,2019-08-21
1908-32,AMCO,Abbeyton Road - Bridge Removal,2053,523.0,2019-08-21
1908-33,QTS Group,Stalcair,1812,3096.75,2019-08-21
1908-34,QTS Group,HGL2/YD229 Garry Dam,1814,2869.87,2019-08-21
1908-35,AMCO,WICK RIVER BRIDGE UB364 ELR:WCK 159mi 660yds 159mi 700yds,2093,2045.5,2019-08-21
1908-36,CPMS,Eastfield Depot Setting Out,2063,1915.0,2019-08-21
1908-37,AMCO,OB 240/162 Old Kilpatrick,1982,25752.88,2019-08-23
1908-38,RJ MacLeod,Dunbar Cement Temporary Works,2130,2323.5,2019-08-23
1908-39,AMCO,Kilkerran Level Crossing,2200,2243.25,2019-08-23
1908-40,Story Contracting,UB 134/014 Cattle Creep,2138,1606.14,2019-08-23
1908-41,AMCO,UB 261/004 Saltmarket,1965,705.33,2019-08-23
1908-42,AMCO,Dalmuir Retaining Wall,1938,410.0,2019-08-23
1908-43,PBH OLE,Coventry Station OLE Portal Structure GB/94/03,2198,2933.0,2019-08-23
1908-44,Story Contracting,UB 312/242 Allt Na H-Airde,2176,16999.12,2019-08-27
1908-45,Story Contracting,Rotten Calder Temporary Works,2258,1835.75,2019-08-28
1908-46,Story Contracting,UB 310/151 Auch Viaduct Form 003,2132,14258.6,2019-08-30
1908-47,Taziker Industrial,Clyde Major Structures Scheme,2087,1926.0,2019-08-30
1908-48,Taziker Industrial,Clyde Major Structures Scheme,2087,445.95,2019-08-30
1908-49,Taziker Industrial,Clyde Major Structures Scheme,2087,8416.85,2019-08-30
1908-50,JA Young Associates,Ardnacairn Raft Foundation,2272,796.5,2019-09-02
1909-01,APB Group Ltd,Lancashire Council Footbridge  ,2040,4601.65,2019-09-02
1909-02,Story Contracting,UB 285/005 Currie Know,2152,1203.39,2019-09-04
1909-03,Story Contracting,UB 179/040 Old Greenock Road,2205,12402.32,2019-09-04
1909-04,AMCO,Robroyston Temporary Works,2155,4000.0,2019-09-09
1909-05,AMCO,Moulinearn Level Crossing,2168,2600.5,2019-09-09
1909-06,AMCO,Motray Water,2223,1016.0,2019-09-09
1909-07,Story Contracting,Neilston Bank Temporary Works,2208,1366.5,2019-09-09
1909-08,Joyce Construction & Civils Ltd,A19 Testos Temporary Works,2267,566.0,2019-09-09
1909-09,AMCO,Stobcross Tunnel Retaining Wall,2112,2782.5,2019-09-09
1909-10,Lanarkshire Welding Company,Sparling Bridge Trestle Design,2265,681.0,2019-09-09
1909-11,AMCO,Dunbar Station Temporary Works,2171,1340.63,2019-09-09
1909-12,Story Contracting,Stirling Station Temporary works,1910,500.0,2019-09-09
1909-13,BAM Nuttall,Kintore Station,2202,1400.0,2019-09-09
1909-14,KN Circet,Crown Street/Cathcart Road Temporary Works,2274,858.5,2019-09-09
1909-15,George Leslie,Scottish Water Barlinnie Emergency Works,2224,660.0,2019-09-09
1909-16,AMCO,MSC1236  030/429 Scour Repairs,2113,3258.5,2019-09-09
1909-17,QTS Group,Ayr3 - CP6 Glengarnock Railway Earthwork Improvement,2064,2460.62,2019-09-09
1909-18,QTS Group,AYR4 - CP6 Dalgarven Railway Earthwork Improvement,2065,2551.5,2019-09-09
1909-19,QTS Group,KYL - CP6 Ash Nasheen Railway Earthworks Improvement,2127,2743.62,2019-09-09
1909-20,QTS Group,KYL - CP6 Glencarron Lodge Railway Earthwork Improvement,2129,2990.12,2019-09-09
1909-21,QTS Group,KLY - CP6 Allt Na Ceardaich Railway Earthworks Improvement,2126,3322.75,2019-09-09
1909-22,QTS Group,KYL - CP6 Allt Na Ceardaich Railway Earthworks Improvement,2126,4963.95,2019-09-09
1909-23,RJ MacLeod,C3 Bridgend Bridge Replacements,2109,2140.0,2019-09-12
1909-24,AMCO,West Highland Line Ballast Retention,2118,2524.75,2019-09-12
1909-25,BAM Nuttall,Stornoway Substation Temporary Works,2277,557.0,2019-09-20
1909-26,Story Contracting,FB 058/090A North Street,2156,19062.92,2019-09-20
1909-27,Story Contracting,UB 310/226 Loch Treig,2135,2960.05,2019-09-20
1909-28,Hilti,Buffet Lunch,103,15.05,
1909-29,BAM Nuttall,Fauldhouse Station Temporary Works,1993,746.25,2019-09-24
1909-30,Whitfield Construction Services,Dagenham Dock,2226,2048.9,2019-09-20
1909-31,AMCO,Cleland Retaining Wall,1692,3266.57,2019-09-20
1909-32,Story Contracting,OB 031-019 Muir Street,2121,3885.0,2019-09-20
1909-33,Story Contracting,UB 218/005 Clyde Street,2139,2203.25,2019-09-19
1909-34,Story Contracting,UB 134/014 Cattle Creep,2138,520.75,2019-09-25
1909-35,BAM Nuttall,UB133-020 Millstone Burn,2191,20670.47,2019-09-25
1909-36,Story Contracting,UB 179/039 Parklea,2136,3687.0,2019-09-25
1909-37,Taziker Industrial,Clyde Major Structures Scheme,2087,3210.0,2019-09-25
1909-38,Taziker Industrial,Clyde Major Structures Scheme,2087,19385.45,2019-09-25
1909-39,Joyce Construction & Civils Ltd,Polmadie  ,2284,1500.0,2019-09-27
1909-40,BAM Nuttall,Alves,2190,1664.19,2019-09-27
1909-40,BAM Nuttall,Intersection,2192,1872.5,2019-09-27
1909-40,BAM Nuttall,UB133-020 Millstone Burn,2191,-800.0,2019-09-27
1909-41,Bam Construction,Atlantic Square Piling Works,2078,3500.0,2019-10-01
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2179,49301.25,2019-10-01
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2180,,
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2181,,
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2182,,
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2183,,
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2184,,
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2185,,
1909-42,BAM Nuttall,CP6 Culverts 2179 - 2186,2186,,
1909-43,CPMS,Dalgarven Track Monitoring,2187,20677.5,2019-10-01
1910-01,CPMS,Cowbrae Cottage ,2042,575.25,2019-10-02
1910-02,Allen Gordon,Bothwell Sewer Replacement,2263,427.5,2019-10-02
1910-03,BAM Nuttall,SEAGREEN ONSHORE CABLING WORKS,2163,14309.37,2019-10-02
1910-04,Story Contracting,UB 310/151 Auch Viaduct Form 003,2132,4431.45,2019-10-02
1910-05,AMCO,Whitecart Viaduct Access Improvement Works,2164,12500.0,2019-10-02
1910-06,Story Contracting,UB 132-015 Cornton Viaduct,2147,3575.75,2019-10-08
1910-07,Story Contracting,UB 240/001 Clifton,2271,21986.54,2019-10-08
1910-08,PBH OLE,Anglia OLE Slipping Structures,2259,6842.5,2019-10-11
1910-09,AMCO,C313-006A CULVERT HEADWALL Credit Note,2027,-6239.25,2019-10-10
1910-10,AMCO,C313-006A CULVERT HEADWALL,2027,6595.5,2019-10-10
1910-11,CPMS,Drumry Station Track Monitoring,2275,5906.0,2019-10-10
1910-12,QTS Group,JT19-001317: Carmont,2285,2870.0,2019-10-11
1910-13,Geo-Structural,Docker Garth Viaduct Credit Note,2141,-143.75,2019-10-11
1910-14,CPMS,Prestonpans Station UB 001-036,1987,21180.68,2019-10-15
1910-15,Lanarkshire Welding Company,LWL Lifting Lug,2298,350.0,2019-10-15
1910-16,Story Contracting,Queen Street Temporary Works,2204,2317.75,2019-10-22
1910-17,Advanced Rope Access,Wishaw Relay Room,2270,2051.25,2019-10-23
1910-18,BAM Nuttall,Kintore Station,2202,800.0,2019-10-22
1910-19,BAM Nuttall,HEP-A21 East Main Works,1888,500.0,2019-10-22
1910-20,Story Contracting,Garpol Temporary Works,2207,557.0,2019-10-22
1910-21,Taziker Industrial,A9 Auchinlay Scaffold Foundations,2286,1810.75,2019-10-23
1910-22,Story Contracting,UB 070/047 Avon Viaduct Temporary ,2209,2132.25,2019-10-22
1910-23,Story Contracting,Sparling Footbridge Temporary Works,2172,3993.5,2019-10-22
1910-24,SPL Powerlines UK Limited,Fauldhouse Station RRAP Manhole Extension Works,2280,953.0,2019-10-23
1910-25,SPL Powerlines UK Limited,Hartwood Station RRAP Access Track,2279,2583.0,2019-10-23
1910-26,Story Contracting,Cattle Creep Temporary Works,2278,2255.0,2020-01-13
1910-27,Joseph Gallagher,JTS211 Port Glasgow Road Water Main Support,2254,653.0,2019-10-23
1910-28,AMCO,Clayhills Depot Access Walkways,2300,361.5,2019-10-22
1910-29,Wills Bros,A6 Temporary Works,2134,0.0,2019-10-22
1910-30,Tarmac,Dunbar Cement Works,2290,868.0,2019-10-25
1910-31,Costain,Stirling Station Cabin Removal,2293,616.0,2019-10-25
1910-32,Story Contracting,UB 310/226 Loch Treig,2135,1939.95,2019-10-25
1910-33,Story Contracting,UB 179/039 Parklea,2136,2003.6,2019-10-25
1910-34,Story Contracting,UB 285/005 Currie Know,2152,2476.96,2019-10-25
1910-35,Taziker Industrial,Clyde Major Structures Scheme,2087,8509.74,2019-10-28
1910-36,Taziker Industrial,Clyde Major Structures Scheme,2087,3210.0,2019-10-28
1910-37,Story Contracting,FB 058/090A North Street,2156,2262.08,2019-10-28
1910-38,Wills Bros,North Bridge Inverness,2303,1274.5,2019-10-30
1910-39,Story Contracting,McPherson's Temporary Works,2297,2350.0,2019-10-30
1910-40,AMCO,Scotland Street Retaining Wall,1862,1713.75,2019-10-30
1910-41,AMCO,Craigellachie Bearing Replacement,2257,14000.0,2019-10-31
1910-42,AMCO,Craigellachie Bearing Replacement - variations,2257,8036.0,2019-10-31
1911-01,Allen Gordon,Bothwell Sewer Replacement,2263,1627.5,2019-11-04
1911-02,Cuil Burn Hydropower Ltd,Cuil Hydro Scheme,2292,1614.0,2019-11-04
1911-03,APB Group Ltd,LCC - Carnforth Canal & St Michael's Footbridge Replacement,2170,11204.5,2019-11-04
1911-04,Story Contracting,North Street Temporary Works,2310,1085.0,2019-11-13
1911-05,Story Contracting,Ibrox SPT Temporary Works,2110,3429.5,2019-11-06
1911-06,Story Contracting,UB 310/151 Auch Viaduct Form 003,2132,2932.95,2019-11-06
1911-07,Scaftec,Forth Rail bridge Viewing Platform,1663,150.0,2019-11-11
1911-08,Story Contracting,OB 031/109 Muir Street,2121,750.0,2019-11-11
1911-09,AMCO,Balmore Road Pipe Bridge Deck Replacement,2308,3425.5,2019-11-11
1911-10,Geo-Rope,"Rest & Be Thankful Phase 1, 7, 8 & 9",1685,24888.25,2019-11-11
1911-11,AMCO,Crianlarich Emergency Topo Survey,2261,985.0,2019-11-13
1911-12,BAM Nuttall,M8 Sighthill Contractor Led Design Elements,2281,1597.0,2019-11-13
1911-13,AMCO,A77 Carlock Road,2317,600.0,2019-12-19
1911-14,APL Construction Ltd,Laighpark WWTW Temporary Works,2312,1020.0,2019-11-13
1911-15,Story Contracting,UB 110/003 Birks Occ Road,2231,5790.45,2019-11-21
1911-16,SWS JV ,A6 Temporary Works,2134,3945.5,2019-12-18
1911-17,Story Contracting,Wester Hailes Temporary Works,2302,1925.0,2019-11-21
1911-18,Story Contracting,UB 218/005 Clyde Street,2139,670.0,2019-11-21
1911-19,Story Contracting,FB 058/090A North Street,2156,2492.25,2019-11-25
1911-20,Story Contracting,UB 310/226 Loch Treig,2135,1792.5,2019-11-21
1911-21,RJ MacLeod,Dunbar Cement Temporary Works CREDIT NOTE,2130,-1024.5,2019-11-22
1911-22,Story Contracting,UB 261-004 Saltmarket,2269,5423.5,2019-11-22
1911-23,Story Contracting,UB 132-015 Cornton Viaduct,2147,808.01,2019-11-22
1911-24,Ischebeck,Flights GM/AG,103,490.78,2019-11-22
1911-25,Story Contracting,McPherson's Temporary Works,2297,3608.75,2019-11-27
1911-26,BAM Nuttall,A68 Campton Temporary Works,2305,3207.5,2019-11-27
1911-27,QTS Group,ECN5 OATYHILL RAILWAY EARTHWORK IMPROVEMENT,2221,10492.25,2019-12-10
1911-28,QTS Group,GARTLY RAILWAY EARTHWORK IMPROVEMENT,2214,20173.5,2019-12-10
1911-29,QTS Group,KENNETHMONT RAILWAY EARTHWORK IMPROVEMENT,2213,4877.25,2019-12-10
1911-30,QTS Group,ECN5 CASTLETON RAILWAY EARTHWORK IMPROVEMENT,2222,18207.0,2019-12-10
1911-31,QTS Group,BLACK WATER COTTAGES RAILWAY EARTHWORK IMPROVEMENT,2128,1000.0,2019-12-10
1911-32,Allen Gordon,Bothwell Sewer Replacement,2263,1615.0,2019-12-12
1911-33,Neary Construction,SHRUBHILL TRANSFORMER ,2301,7528.25,2019-12-12
1911-34,Story Contracting,Culvert Renewal C310/189,2239,3999.87,2019-12-12
1911-35,Story Contracting,Culvert Renewal C310/168C,2238,5797.44,2019-12-12
1911-36,Story Contracting,Culvert Renewal C310/160B,2237,5795.48,2019-12-12
1911-37,Story Contracting,Culvert Renewal C310/154.1460,2236,5801.36,2019-12-12
1911-38,Story Contracting,Culvert Renewal C310/051.1155,2235,4614.09,2019-12-18
1911-39,Story Contracting,Culvert Renewal C310/050.0672,2234,5808.22,2019-12-12
1911-40,Story Contracting,R/031/008.17350,2240,1391.11,2019-12-12
1911-41,Story Contracting,Retaining Wall R/090/019,2241,1240.19,2019-12-12
1911-42,Story Contracting,Retaining Wall R/113/027,2242,2129.79,2019-12-12
1911-43,Story Contracting,R/222/005.0035U Nitshill Retaining Wall,2244,1280.37,2019-12-12
1911-44,Story Contracting,Retaining Wall R/240/008.1470,2245,1009.16,2019-12-12
1911-45,Story Contracting,Retaining Wall R/240/008.1500,2246,1293.11,2019-12-12
1911-46,Story Contracting,Retaining Wall R/222/008.1480,2247,694.74,2019-12-12
1912-01,BAM Nuttall,Kintore Station,2202,800.0,2019-12-10
1912-02,Neary Construction,SHRUBHILL TRANSFORMER ,2301,4404.25,2019-12-12
1912-03,Story Contracting,UB 240-001 Clifton Timbers Temporary Works,2322,868.0,2019-12-10
1912-04,BAM Nuttall,UB 133/020 Stream Greenloaning,2195,7087.25,2019-12-10
1912-05,Story Contracting,Parklea Temporary Works,2314,3750.0,2019-12-10
1912-06,George Leslie,Happendon Trunk Mains,2210,2458.5,2019-12-10
1912-07,George Leslie,Happendon Pressure Test Temporary Works,2159,1963.25,2019-12-10
1912-08,AMCO,Ampherlaw Drainage,2260,488.5,2019-12-10
1912-09,Geo-Structural,Dunkeld Bridge A923/12 Wingwall Repair,2340,1375.0,2019-12-12
1912-10,Story Contracting,Glebe House Emergency Drainage Works,2324,4374.25,2019-12-16
1912-11,Tarmac,Dunbar Cement Works,2290,1306.0,2019-12-12
1912-12,Story Contracting,UB 110/024 Balgonie Road,2232,6480.92,2019-12-12
1912-13,Story Contracting,UB 310/151 Auch Viaduct Form 003,2132,5868.43,2019-12-12
1912-14,Taziker Industrial,Clyde Major Structures Scheme,2087,22706.01,2019-12-12
1912-15,Taziker Industrial,Clyde Major Structures Scheme,2087,1926.0,2019-12-12
1912-16,Story Contracting,UB 218/005 Clyde Street,2139,808.0,2019-12-13
1912-17,Story Contracting,UB 134/014 Cattle Creep,2138,3124.02,2019-12-14
1912-18,AMCO,Banavie Swing Bridge Balancing,2313,6345.0,2019-12-15
1912-19,PBH OLE,UB SAS/13 OLE Foundations,2341,650.0,2019-12-16
1912-20,AMCO,Winchburgh Cutting,2173,2679.0,2019-12-16
1912-21,AMCO,Bogston Station Wall Remediation,1925,2301.25,2019-12-16
1912-22,AMCO,UB 303/128 River Fernaig Temporary Works,2282,1908.0,2019-12-16
1912-23,Joyce Construction & Civils Ltd,A19 Testos Temporary Works,2267,1106.75,
1912-24,Story Contracting,OB 163/105 East Challoch Design Development,2306,5144.27,2019-12-18
1912-25,AMCO,MRN 2640 Catchment Study,2318,2429.5,2019-12-18
1912-26,SWS JV ,A6 Temporary Works,2134,670.0,2019-12-19
1912-27,AMCO,Scotland Street Retaining Wall,1862,411.5,2019-12-18
1912-28,Story Contracting,UB 312/242 Allt Na H-Airde,2176,6024.62,2019-12-18
1912-29,Albion Drilling,Almondbank Retaining Wall,2307,1041.1,2019-12-18
1912-30,Story Contracting,UB 261-004 Saltmarket,2269,21277.4,2019-12-18
1912-31,Story Contracting,Old Greenock Road Temporary Works,2315,2400.0,2019-12-18
1912-32,Story Contracting,C179/043A Culvert Renewal,2255,5035.75,2019-12-19
1912-33,Story Contracting,R179/116.0620U Retaining Wall Langbank,2338,10173.5,2019-12-19
1912-34,Story Contracting,R/031/008.17350,2240,6581.68,2020-01-16
1912-35,Bam Ritchie,Blaryhill Slope Strengthening,2344,6484.0,2019-12-19
1912-36,BAM Nuttall,UB 133/020 Stream Greenloaning,2195,400.0,2019-12-19
1912-37,Story Contracting,St Vigeans Retaining Wall R/090/019.1150,2241,5315.52,2020-01-16
1912-38,APB Group Ltd,LCC Carnforth & St Michael's Footbridge Replacement - TW,2170,3172.5,2019-12-19
1912-39,Taziker Industrial,Clyde Major Structures Scheme,2087,16171.62,2019-12-20
1912-40,Catenary King,Sussex Framework Ballast Retention,2326,10796.5,2019-12-19
1912-40,Catenary King,Sussex Framework Ballast Retention,2327,0.0,2019-12-19
1912-40,Catenary King,Sussex Framework Ballast Retention,2328,0.0,2019-12-19
